title,image,description
Ce que contient le projet de loi de financement de la Sécurité sociale,https://img.lemde.fr/2024/12/02/0/0/5899/3933/110/73/60/0/ca2d0ee_1733127767777-jmug241128049.jpg,"La version finale du budget de la « Sécu », qui doit être soumise à l’Assemblée nationale lundi, est le fruit d’un compromis scellé en commission mixte paritaire le 27 novembre. Les mesures qui y sont présentées ont évolué de façon significative depuis la présentation du texte initial, le 10 octobre."
Des taxis bloquent la circulation dans une trentaine de départements pour protester contre les nouveaux tarifs du transport de patients,https://img.lemde.fr/2024/12/02/0/0/7951/5300/110/73/60/0/c46f6a4_5407245-01-06.jpg,"Des opérations escargots ont commencé aux abords de Lyon, Marseille et Toulon, et sont aussi prévues à Paris pour s’opposer à la nouvelle convention en cours de négociation avec l’Assurance-maladie, dans laquelle le tarif passerait de 1,50 à 1 euro par kilomètre."
Que se passerait-il si le budget de la « Sécu » pour 2025 n’était pas approuvé ?,https://img.lemde.fr/2024/11/11/0/0/5899/3933/110/73/60/0/ea7d78e_1731343611584-jmug241106061.jpg,La chute du gouvernement sur le projet de loi de financement de la Sécurité sociale aurait des conséquences directes et indirectes qui inquiètent déjà les acteurs de la santé.
"L’épidémie de bronchiolite est bien installée en France, des pédiatres craignent un accès restreint au Beyfortus pour les familles « les plus modestes »",https://img.lemde.fr/2023/09/28/1/0/5650/3766/110/73/60/0/a32294f_1695892615999-lgeai-bronchiolite-39.jpg,"En dehors des maternités, ce traitement protégeant les bébés de cette infection des bronchioles n’est remboursé qu’à 30 %, avec un reste à charge de 280 euros."
Données de santé : une nouvelle application de Doctolib fait débat,https://img.lemde.fr/2024/11/29/0/0/5472/3648/110/73/60/0/9bac950_1732895281444-000-32ay68q.jpg,"Le leader de la prise de rendez-vous médical propose un espace permettant de réunir les données de santé d’un patient. Une offre vue par certains acteurs du secteur comme concurrente de « Mon espace santé », de l’Assurance-maladie."
"Paul Christophe, le gagnant des arbitrages du budget de la Sécurité sociale",https://img.lemde.fr/2024/11/29/0/0/3121/2081/110/73/60/0/6bbb75e_1732897552965-000-36h94hh.jpg,"Ministre des solidarités, de l’autonomie et de l’égalité entre les femmes et les hommes, cet ex-député (Horizons) du Nord obtient une hausse inédite des crédits pour les personnes âgées dans le projet de financement de la Sécurité sociale, présenté au vote lundi 2 décembre à l’Assemblée nationale."
"Sur le mercato des enseignants, les grandes écoles françaises en mal d’atouts",https://img.lemde.fr/2024/11/29/51/0/2138/1425/110/73/60/0/0a2ba41_1732859001514-le-monde-copie.jpg,"Si les universités recrutent peu d’enseignants chaque année, les grandes écoles sont en compétition sur un marché tendu, qui ressemble parfois à un véritable mercato."
"L’alerte des « universités en danger », qui manifestent pour dénoncer une « bascule vers un fonctionnement très dégradé »",https://img.lemde.fr/2024/12/02/0/0/5568/3712/110/73/60/0/b2dca66_1733156592419-000-13f924.jpg,"Les établissements français se mobilisent, mardi 3 décembre, pour mettre en garde sur leur situation. Une majorité d’entre eux devront réduire leurs capacités d’accueil, revoir leur offre de formation ou seront dans l’incapacité de remplacer les départs à la retraite, pointent leurs dirigeants, si les efforts qui leur sont demandés sont maintenus."
Réforme du brevet des collèges : « L’orientation n’est pas une science exacte »,https://img.lemde.fr/2024/11/28/0/0/7479/4986/110/73/60/0/383efc0_1732807476358-000-36fn7zp.jpg,"L’économiste Marc Gurgand dénonce, dans une tribune au « Monde », la fascination française pour le diplôme, illustrée par la réforme voulue du brevet, qui va entraîner un durcissement des conditions d’accès en classe de 2de."
"« Fractures françaises » : la jeunesse, « tantôt diabolisée, tantôt convoitée »",https://img.lemde.fr/2024/12/01/0/0/7989/5326/110/73/60/0/8b8a2e6_1733080513333-000-34wv7xa.jpg,"Blanche Leridon et Lisa Thomas-Darbois, de l’Institut Montaigne, soulignent le paradoxe d’une jeunesse perçue comme « trop favorisée » quand bien même elle est souvent la grande oubliée, selon la douzième vague de l’enquête annuelle, réalisée par Ipsos pour « Le Monde », la Fondation Jean Jaurès, le Cevipof et l’Institut Montaigne."
